Experiment,well,scan id,lambda max wavelength,lambda max absorbance,well,concentration,volume,additive
NLM_158,B01,scan_033,604.4,0.484,B01,0.01,13,KBr
NLM_158,C05,scan_071,601,0.478,C05,0.01,13,KBr
CNH_067,C07,scan_036,709.5,0.507,C07,0.001,20,C8
CNH_067,E09,scan_037,712,0.55,E09,0.001,20,C8
CNH_067,D07,scan_036,718.5,0.551,D07,0.001,50,C8
CNH_067,F09,scan_037,713.6666667,0.513,F09,0.001,50,C8
CNH_067,E07,scan_036,764.1666667,0.556,E07,0.01,10,C8
CNH_067,G09,scan_037,764,0.573,G09,0.01,10,C8
CNH_067,F07,scan_036,705.6666667,0.5,F07,0.01,20,C8
CNH_067,H09,scan_038,711.5,0.519,H09,0.01,20,C8
CNH_068,C02,scan_044,687.6666667,0.486,C02,0.01,40,C8
CNH_068,D02,scan_044,758,0.574,D02,0.01,45,C8
CNH_067,G07,scan_036,740.6666667,0.54,G07,0.01,50,C8
CNH_067,A10,scan_038,741.8333333,0.562,A10,0.01,50,C8
CNH_067,H07,scan_036,686,0.499,H07,0.1,10,C8
CNH_067,B10,scan_038,691,0.495,B10,0.1,10,C8
CNH_067,A08,scan_036,695.5,0.521,A08,0.1,20,C8
CNH_067,C10,scan_039,728,0.555,C10,0.1,20,C8
CNH_068,E02,scan_044,737.6666667,0.557,E02,0.1,25,C8
CNH_068,G02,scan_044,740.5,0.591,G02,0.1,35,C8
CNH_068,H02,scan_044,707.75,0.551,H02,0.1,40,C8
CNH_067,B08,scan_036,756.5,0.527,B08,0.1,50,C8
CNH_067,D10,scan_039,750,0.564,D10,0.1,50,C8
CNH_068,A03,scan_044,694.5,0.553,A03,0.1,50,C8
CNH_067,C08,scan_036,711,0.527,C08,1,10,C8
CNH_067,E10,scan_039,728.3333333,0.529,E10,1,10,C8
CNH_067,D08,scan_036,737.6666667,0.541,D08,1,20,C8
CNH_067,F10,scan_040,749,0.57,F10,1,20,C8
CMH_073,B01,scan_025,771,0.599,B01,1,20,C8
CMH_073,B08,scan_053,744.6,0.545,B08,1,20,C8
CNH_068,B03,scan_044,717.4285714,0.517,B03,1,25,C8
NLMCMH_164,F04,scan_040,789,0.631,F04,1,25,C8
NLMCMH_164,C09,scan_082,798,0.645,C09,1,25,C8
CMH_063,F03,scan_032,761,0.622,F03,1,25,C8
CMH_063,B07,scan_064,768,0.626,B07,1,25,C8
CNH_068,C03,scan_044,691,0.521,C03,1,30,C8
CMH_028,C01,scan_032,743.5,0.551,C01,1,30,C8
CMH_028,C05,scan_070,755,0.734,C05,1,30,C8
CMH_063,G03,scan_032,740,0.638,G03,1,30,C8
CMH_063,C07,scan_064,765,0.619,C07,1,30,C8
CMH_073,C01,scan_025,779,0.655,C01,1,30,C8
CNH_068,D03,scan_044,740.5,0.581,D03,1,35,C8
CMH_028,D01,scan_032,711,0.549,D01,1,35,C8
NLMCMH_164,G04,scan_040,763,0.631,G04,1,35,C8
NLMCMH_164,D09,scan_082,763,0.61,D09,1,35,C8
CNH_068,E03,scan_044,728.6666667,0.563,E03,1,40,C8
CMH_028,E01,scan_032,738.3333333,0.536,E01,1,40,C8
CMH_028,E05,scan_070,712,0.568,E05,1,40,C8
CNH_068,F03,scan_044,712.5,0.555,F03,1,45,C8
CMH_028,F01,scan_032,741,0.548,F01,1,45,C8
CMH_028,F05,scan_070,727.75,0.539,F05,1,45,C8
CNH_067,E08,scan_036,696.2222222,0.517,E08,1,50,C8
CNH_067,G10,scan_040,726.8333333,0.546,G10,1,50,C8
NLMCMH_164,H04,scan_041,764,0.659,H04,1,50,C8
NLMCMH_164,E09,scan_082,768.1428571,0.631,E09,1,50,C8
CMH_028,G01,scan_032,739,0.55,G01,1,60,C8
CMH_028,G05,scan_070,752.7142857,0.577,G05,1,60,C8
NLMCMH_164,A05,scan_041,781,0.634,A05,1,60,C8
NLMCMH_164,F09,scan_082,785.75,0.651,F09,1,60,C8
CMH_073,D01,scan_025,787.3333333,0.636,D01,1,60,C8
CNH_067,F08,scan_036,728,0.526,F08,10,10,C8
CNH_067,H10,scan_040,677.5,0.557,H10,10,10,C8
CMH_028,H01,scan_032,688,0.517,H01,10,10,C8
CMH_028,H05,scan_070,709,0.518,H05,10,10,C8
CMH_073,E01,scan_025,709.5,0.528,E01,10,10,C8
CMH_028,A02,scan_032,752,0.573,A02,10,15,C8
CMH_028,A06,scan_070,752,0.572,A06,10,15,C8
NLMCMH_164,B05,scan_041,727,0.553,B05,10,15,C8
NLMCMH_164,G09,scan_083,749.25,0.601,G09,10,15,C8
CMH_073,F01,scan_025,712,0.553,F01,10,15,C8
CNH_067,G08,scan_036,685.6666667,0.493,G08,10,20,C8
CNH_067,A11,scan_040,691.3333333,0.528,A11,10,20,C8
CMH_028,B02,scan_032,715,0.531,B02,10,20,C8
CMH_073,G01,scan_025,707,0.544,G01,10,20,C8
CNH_068,G03,scan_044,619.5,0.486,G03,10,25,C8
CMH_028,C02,scan_032,711,0.513,C02,10,25,C8
CMH_028,C06,scan_070,685.75,0.53,C06,10,25,C8
CNH_068,H03,scan_044,579,0.436,H03,10,30,C8
CMH_028,D02,scan_032,648.6,0.503,D02,10,30,C8
CMH_028,D06,scan_070,655,0.5,D06,10,30,C8
CMH_063,H03,scan_032,629.5,0.516,H03,10,30,C8
CMH_063,D07,scan_065,614,0.512,D07,10,30,C8
CMH_073,H01,scan_025,609.3333333,0.475,H01,10,30,C8
CNH_068,A04,scan_044,588.8571429,0.487,A04,10,35,C8
CMH_028,E02,scan_032,620,0.488,E02,10,35,C8
CMH_028,E06,scan_070,608.5,0.473,E06,10,35,C8
CNH_068,B04,scan_044,568,0.448,B04,10,40,C8
CMH_028,F06,scan_070,583,0.441,F06,10,40,C8
NLMCMH_164,C05,scan_041,588,0.493,C05,10,40,C8
NLMCMH_164,H09,scan_083,619,0.493,H09,10,40,C8
CMH_073,A02,scan_025,568,0.482,A02,10,40,C8
CNH_068,C04,scan_044,538,0.404,C04,10,45,C8
CMH_028,G02,scan_032,563.5,0.461,G02,10,45,C8
CMH_028,G06,scan_070,557.5,0.473,G06,10,45,C8
CNH_067,H08,scan_036,551,0.427,H08,10,50,C8
CNH_067,B11,scan_040,553.6,0.472,B11,10,50,C8
CNH_068,D04,scan_045,537.5,0.42,D04,10,50,C8
CMH_028,H02,scan_032,551,0.472,H02,10,50,C8
CMH_028,H06,scan_070,560.8333333,0.469,H06,10,50,C8
CMH_073,B02,scan_026,545,0.425,B02,10,50,C8
CMH_028,A03,scan_033,538,0.45,A03,10,55,C8
CMH_028,A07,scan_070,544.5,0.463,A07,10,55,C8
NLMCMH_164,D05,scan_041,540.125,0.454,D05,10,55,C8
